id_user,timestamp,source,message
4844,11/1/2024,livechat,"""What time is it where u are"""
3985,11/1/2024,livechat,"""What happened to the Cashback piggy?"""
2578,11/1/2024,livechat,"""Deactivated"""
1040,11/1/2024,telegram,"""It says access issues detected"""
4288,11/1/2024,livechat,"""Im in arizona"""
1039,11/1/2024,telegram,"""My free signup bonus doesn’t work"""
247,11/1/2024,livechat,"""I don't understand what u mean"""
4421,11/1/2024,livechat,"""Im in the us"""
4230,11/1/2024,livechat,"""The bonus of 0.0036... I just added and active but that one isn't showing"""
3713,11/1/2024,livechat,"""Okay hopefully I don't have to bother you anymore I apologize."""
4233,11/1/2024,livechat,"""To withdraw my money I am a continuously paying client"""
4117,11/1/2024,livechat,"""may I upload the document here, and you can tell me if it’s alright or not?"""
4468,11/1/2024,livechat,"""Hi can i have my depositing currency changed back to Ethereum please?"""
4566,11/1/2024,livechat,"""I am sorry for being so angry but u would be too"""
3848,11/1/2024,livechat,"""ive depoistioed so much everyday"""
4239,11/1/2024,livechat,"""Making sure its to this address"""
1050,11/1/2024,telegram,"""So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys"""
1050,11/1/2024,telegram,"""Sorry"""
1050,11/1/2024,telegram,"""❤️"""
4105,11/1/2024,livechat,"""It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week."""
1053,11/1/2024,telegram,"""I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down"""
4659,11/1/2024,livechat,"""I don’t need bonus and I just want to get my desposit"""
5062,11/1/2024,livechat,"""I already deposited too many time even I had lost"""
4485,11/1/2024,livechat,"""hey I just wanted to know the time my account will be reopened"""
5132,11/1/2024,livechat,"""On my case, i dont huh?"""
4167,11/1/2024,livechat,"""today about a $100 no deposit bonus"""
1059,11/1/2024,telegram,"""I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all"""
4190,11/1/2024,livechat,"""as a side note; david was completely unprofessional and almost seemed drunk"""
4227,11/1/2024,livechat,"""Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again."""
4350,11/1/2024,livechat,"""Then my game was glitched then"""
4259,11/1/2024,livechat,"""it’s already auto collected the jackpot mania now"""
57,11/1/2024,telegram,"""It shows pending and there is a cancel option"""
4145,11/1/2024,livechat,"""weres my game history"""
4621,11/1/2024,livechat,"""The limit was €150. I then have to pay out the amount. I would like to continue playing"""
5147,11/1/2024,livechat,"""right. okay well have a good day, thank you!"""
1122,11/1/2024,telegram,"""I just deposited money and I did one spin and it took it all away all my money's gone how is that"""
5232,11/1/2024,livechat,"""that's random haha"""
5047,11/1/2024,livechat,"""in othe convo but my phone died"""
4421,11/1/2024,livechat,"""Hello I placed 9th in jackpot spins for last month"""
710,11/1/2024,livechat,"""Payment system account used by another user problem"""
4157,11/1/2024,livechat,"""i am concerned"""
406,11/1/2024,telegram,"""Ok Gotit now thx"""
4073,11/1/2024,livechat,"""But on my end it isn’t “pending” it says completed"""
4133,11/1/2024,livechat,"""That percentage. Bar has not moved hundreds dollars sits there does it work"""
4958,11/1/2024,livechat,"""\nNone of those reasons applied to me, so can you please check my deposit?"""
